site_id,id,bearing,sv1,sv2,sv3,sv4
6,4475,300.0,(0.640128716862+1.38777878078e-17j),(-0.455012855566-0.0904432532245j),(0.300740947479-0.0151427231365j),(-0.519932987914-0.118379954338j)
6,4476,301.0,(0.641744216514+1.2490009027e-16j),(-0.460675464175-0.0717461670284j),(0.296855611607-0.022385693848j),(-0.514028943459-0.133958339235j)
6,4477,302.0,(0.643200856538+5.55111512313e-17j),(-0.46561553457-0.0529860188867j),(0.29312870492-0.0291159693428j),(-0.507553106996-0.149348519169j)
6,4478,303.0,(0.644506892734-5.55111512313e-17j),(-0.469832897072-0.0341911492429j),(0.289588819328-0.0353128403216j),(-0.500462249227-0.164704995332j)
6,4479,304.0,(0.645670597061-5.55111512313e-17j),(-0.473328573757-0.0154723891859j),(0.28627313663-0.0409077422491j),(-0.492753060644-0.179996710033j)
6,4480,305.0,(0.646698096522+2.77555756156e-17j),(-0.476116928166+0.00322235524282j),(0.28321261798-0.0458829732124j),(-0.484425148454-0.195196056381j)
6,4481,306.0,(0.647595898797-8.32667268469e-17j),(-0.478203406277+0.0219476505179j),(0.280401339263-0.0504145508377j),(-0.475587019523-0.210023340579j)
6,4482,307.0,(0.648372173777-5.55111512313e-17j),(-0.479594297227+0.0405907985029j),(0.277880133427-0.0543790276783j),(-0.466141571084-0.224706052254j)
6,4483,308.0,(0.649032090874+5.55111512313e-17j),(-0.480302292089+0.0591253080243j),(0.275670946803-0.0577537284087j),(-0.456131108562-0.239135315096j)
6,4484,309.0,(0.649580277533-1.38777878078e-16j),(-0.480328416099+0.0776047148791j),(0.273767346444-0.0606544843892j),(-0.445562812905-0.253286077898j)
6,4485,310.0,(0.650023405143-2.77555756156e-17j),(-0.479677785201+0.0960037886807j),(0.272197937244-0.0630041042971j),(-0.434490282942-0.267056225431j)
6,4486,311.0,(0.650362359375-8.32667268469e-17j),(-0.478400425795+0.114128178848j),(0.27097043074-0.0648164389239j),(-0.422833405569-0.280575050468j)
6,4487,312.0,(0.650603560568-8.32667268469e-17j),(-0.476455636136+0.1322026003j),(0.270088959367-0.0661024571942j),(-0.41069411909-0.293666930331j)
6,4488,313.0,(0.650746858465+1.38777878078e-16j),(-0.473845580417+0.15020140585j),(0.269547613714-0.0669180586082j),(-0.398091320853-0.306313217853j)
6,4489,314.0,(0.650794584346-5.55111512313e-17j),(-0.470632337628+0.1679342964j),(0.269370846527-0.0671736985081j),(-0.384930238707-0.318630564223j)
6,4490,315.0,(0.650746858465+1.38777878078e-16j),(-0.466774540165+0.185542490617j),(0.269547613714-0.0669180586082j),(-0.371332473283-0.330457698784j)
6,4491,316.0,(0.650603560568-5.55111512313e-17j),(-0.462348625956+0.202839033476j),(0.270088959367-0.0661024571942j),(-0.357197802991-0.341902369501j)
6,4492,317.0,(0.650362359375-8.32667268469e-17j),(-0.457302789661+0.219965011715j),(0.27097043074-0.0648164389239j),(-0.342658043184-0.352813936869j)
6,4493,318.0,(0.650023405143-2.77555756156e-17j),(-0.451643396682+0.236894651155j),(0.272197937244-0.0630041042971j),(-0.327734129842-0.363177429355j)
6,4494,319.0,(0.649580277533-1.38777878078e-16j),(-0.44546927164+0.253450558345j),(0.273767346444-0.0606544843892j),(-0.312253740454-0.373142708164j)
6,4495,320.0,(0.649032090874+5.55111512313e-17j),(-0.438710250341+0.269767684073j),(0.275670946803-0.0577537284087j),(-0.296358334011-0.382567421113j)
6,4496,321.0,(0.648372173777-5.55111512313e-17j),(-0.431426694152+0.28574775902j),(0.277880133427-0.0543790276783j),(-0.280066979258-0.391434272879j)
6,4497,322.0,(0.647595898797-8.32667268469e-17j),(-0.423636462141+0.301371804705j),(0.280401339263-0.0504145508377j),(-0.263333140945-0.399769751255j)
6,4498,323.0,(0.646698096522+2.77555756156e-17j),(-0.415411499949+0.316547801431j),(0.28321261798-0.0458829732124j),(-0.246173098789-0.407549405953j)
6,4499,324.0,(0.645670597061-5.55111512313e-17j),(-0.406605934063+0.331475502536j),(0.28627313663-0.0409077422491j),(-0.228680495569-0.414710217512j)
6,4500,325.0,(0.644506892734-5.55111512313e-17j),(-0.397404674578+0.345918665313j),(0.289588819328-0.0353128403216j),(-0.210805650223-0.421275401242j)
6,4501,326.0,(0.643200856538+5.55111512313e-17j),(-0.387831648932+0.359863513968j),(0.29312870492-0.0291159693428j),(-0.192496447785-0.427259244278j)
6,4502,327.0,(0.641744216514+1.2490009027e-16j),(-0.37791524144+0.373297015326j),(0.296855611607-0.022385693848j),(-0.173847619071-0.432604208393j)
